t	10,47,0.0006317845040491643,0.0024875621890547263
table	1,1,0.00011486990982712079,0.00010364842454394693
tablet	1,0,0.00011486990982712079,5.182421227197347e-05
tablets	0,1,5.7434954913560395e-05,0.00010364842454394693
tag	0,1,5.7434954913560395e-05,0.00010364842454394693
take	7,7,0.00045947963930848316,0.00041459369817578774
taken	2,0,0.00017230486474068118,5.182421227197347e-05
takeover	2,0,0.00017230486474068118,5.182421227197347e-05
takes	0,6,5.7434954913560395e-05,0.00036276948590381424
taking	2,2,0.00017230486474068118,0.0001554726368159204
takriti	5,0,0.00034460972948136237,5.182421227197347e-05
talent	2,0,0.00017230486474068118,5.182421227197347e-05
talk	2,3,0.00017230486474068118,0.00020729684908789387
talked	1,0,0.00011486990982712079,5.182421227197347e-05
talking	0,2,5.7434954913560395e-05,0.0001554726368159204
tall	0,1,5.7434954913560395e-05,0.00010364842454394693
tamarchenko	4,0,0.00028717477456780195,5.182421227197347e-05
tang	5,0,0.00034460972948136237,5.182421227197347e-05
tangible	1,0,0.00011486990982712079,5.182421227197347e-05
tantalum	0,1,5.7434954913560395e-05,0.00010364842454394693
tanya	4,0,0.00028717477456780195,5.182421227197347e-05
target	1,8,0.00011486990982712079,0.0004664179104477612
targeted	0,10,5.7434954913560395e-05,0.0005700663349917081
targeting	0,1,5.7434954913560395e-05,0.00010364842454394693
tarrif	2,0,0.00017230486474068118,5.182421227197347e-05
tarrin	0,1,5.7434954913560395e-05,0.00010364842454394693
taught	0,1,5.7434954913560395e-05,0.00010364842454394693
taylor	1,0,0.00011486990982712079,5.182421227197347e-05
taylorja	1,0,0.00011486990982712079,5.182421227197347e-05
tea	0,2,5.7434954913560395e-05,0.0001554726368159204
teach	0,1,5.7434954913560395e-05,0.00010364842454394693
teacher	0,1,5.7434954913560395e-05,0.00010364842454394693
teachers	0,1,5.7434954913560395e-05,0.00010364842454394693
team	16,0,0.0009763942335305266,5.182421227197347e-05
tears	0,1,5.7434954913560395e-05,0.00010364842454394693
technical	0,2,5.7434954913560395e-05,0.0001554726368159204
techniques	0,2,5.7434954913560395e-05,0.0001554726368159204
technology	2,1,0.00017230486474068118,0.00010364842454394693
teco	2,0,0.00017230486474068118,5.182421227197347e-05
teddy	0,3,5.7434954913560395e-05,0.00020729684908789387
tejones	2,0,0.00017230486474068118,5.182421227197347e-05
tel	0,1,5.7434954913560395e-05,0.00010364842454394693
tele	0,1,5.7434954913560395e-05,0.00010364842454394693
telephone	3,0,0.00022973981965424158,5.182421227197347e-05
teleseminar	0,2,5.7434954913560395e-05,0.0001554726368159204
television	0,1,5.7434954913560395e-05,0.00010364842454394693
